policy_id,family,horizon_hours,lookback_hours,threshold,maximum_spread,exit_hours,risk_fraction,scenario,training_cash,training_pnl,total_fees,closed_trades,release_days,maximum_cost_drawdown,mean_daily_log_growth,simultaneous_lower_daily_log_growth,selection_rejections
aa7b5bd63e756eaf,momentum,12,1,0.03,0.03,,0.05,costed,158.18,-41.82,4.09,24,19,0.2260873819658496,-0.0009459021832934107,-0.003849660998145783,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
aa7b5bd63e756eaf,momentum,12,1,0.03,0.03,,0.005,stress,185.81,-14.19,2.04,91,76,0.08323465561476219,-0.00029674483993295667,-0.0008330779176735153,
aa7b5bd63e756eaf,momentum,12,1,0.03,0.03,,0.01,stress,170.11,-29.89,3.97,96,80,0.17431014380101048,-0.0006527099997038139,-0.0018265993605896687,
aa7b5bd63e756eaf,momentum,12,1,0.03,0.03,,0.025,stress,170.85,-29.15,6.02,53,44,0.2129267056709817,-0.0006352072096239352,-0.003064905792268224,
aa7b5bd63e756eaf,momentum,12,1,0.03,0.03,,0.05,stress,177.66,-22.34,4.6,21,18,0.2159060817371348,-0.00047760385163903984,-0.003801040284692826,
1c374765214d3178,momentum,12,1,0.03,0.08,1,0.005,costed,159.78,-40.22,8.08,212,124,0.2011,-0.0009053205544118582,-0.0015608270172093775,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
1c374765214d3178,momentum,12,1,0.03,0.08,1,0.01,costed,159.05,-40.95,7.32,119,63,0.20475,-0.0009237852756164657,-0.002073276507186809,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
1c374765214d3178,momentum,12,1,0.03,0.08,1,0.025,costed,159.16,-40.84,7.97,50,30,0.2042,-0.0009209975039891488,-0.0025300849836896165,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
1c374765214d3178,momentum,12,1,0.03,0.08,1,0.05,costed,158.45,-41.55,5.25,24,17,0.20775,-0.0009390253242383337,-0.0031543624618516172,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
1c374765214d3178,momentum,12,1,0.03,0.08,1,0.005,stress,159.81,-40.19,5.87,177,112,0.20095,-0.0009045635360928215,-0.0015517913944802348,
1c374765214d3178,momentum,12,1,0.03,0.08,1,0.01,stress,159.88,-40.12,4.61,82,48,0.2006,-0.0009027977125198134,-0.002090197899092918,
1c374765214d3178,momentum,12,1,0.03,0.08,1,0.025,stress,159.45,-40.55,3.81,29,19,0.20275,-0.0009136571495643948,-0.0027649673553107974,
1c374765214d3178,momentum,12,1,0.03,0.08,1,0.05,stress,157.39,-42.61,3.2,17,13,0.21305,-0.0009660909878408356,-0.0029998340085706805,
b28a0e66ddefbd9a,momentum,12,1,0.03,0.08,3,0.005,costed,159.92,-40.08,7.55,259,163,0.20063980805758272,-0.0009017890175640851,-0.0017714321470763206,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
b28a0e66ddefbd9a,momentum,12,1,0.03,0.08,3,0.01,costed,159.15,-40.85,4.8,102,50,0.2047669015140159,-0.000921250858144898,-0.002367153498816023,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
